University of California-Irvine,CA,Public,City: Large,<10%,Very Large,www.uci.edu/,-117.841248,33.648434
University of California-Los Angeles,CA,Public,City: Large,10%-25%,Very Large,www.ucla.edu/,-118.442179,34.07178
University of California-San Diego,CA,Public,City: Large,<10%,Very Large,www.ucsd.edu/,-117.235866,32.877749
University of Central Florida,FL,Public,Suburb: Large,<10%,Very Large,www.ucf.edu/,-81.200889,28.602159
University of Chicago,IL,Private,City: Large,Most Selective,Large,www.uchicago.edu/,-87.599539,41.787994
University of Colorado Boulder,CO,Public,City: Midsize,>75%,Very Large,www.colorado.edu/,-105.270823,40.008781
University of Connecticut,CT,Public,Suburb: Large,51%-75%,Very Large,uconn.edu/,-72.249948,41.809098
University of Delaware,DE,Public,Suburb: Large,51%-75%,Very Large,www.udel.edu/,-75.752822,39.679577
University of Denver,CO,Private,City: Large,51%-75%,Large,www.du.edu/,-104.963259,39.678005
University of Florida,FL,Public,City: Midsize,<10%,Very Large,https://www.ufl.edu/,-82.347911,29.64629
University of Georgia,GA,Public,City: Midsize,<10%,Very Large,www.uga.edu/,-83.374039,33.956262
University of Hartford,CT,Private,City: Midsize,>75%,Medium,www.hartford.edu/,-72.715213,41.798591
University of Hawaii at Manoa,HI,Public,City: Large,51%-75%,Large,https://manoa.hawaii.edu/,-157.818979,21.298598
University of Houston,TX,Public,City: Large,51%-75%,Very Large,www.uh.edu/,-95.343537,29.720393
University of Illinois Chicago,IL,Public,City: Large,>75%,Very Large,www.uic.edu/,-87.650503,41.871837
University of Illinois Urbana-Champaign,IL,Public,City: Small,51%-75%,Very Large,www.illinois.edu/,-88.229114,40.104718
University of Louisville,KY,Public,City: Large,51%-75%,Very Large,www.louisville.edu/,-85.760412,38.216862
University of Maryland-College Park,MD,Public,Suburb: Large,51%-75%,Very Large,www.umd.edu/,-76.944721,38.988178
University of Massachusetts-Amherst,MA,Public,Suburb: Large,51%-75%,Very Large,www.umass.edu/,-72.526728,42.385999
University of Miami,FL,Private,City: Small,<10%,Large,www.miami.edu/,-80.278662,25.72126
University of Michigan-Ann Arbor,MI,Public,City: Midsize,10%-25%,Very Large,https://umich.edu/,-83.742769,42.275921
University of Minnesota-Twin Cities,MN,Public,City: Large,51%-75%,Very Large,https://twin-cities.umn.edu/,-93.235464,44.972851
University of Missouri-Columbia,MO,Public,City: Midsize,>75%,Very Large,https://missouri.edu/,-92.328843,38.94531
University of North Carolina at Chapel Hill,NC,Public,City: Small,10%-25%,Very Large,https://www.unc.edu/,-79.050969,35.911769
University of North Florida,FL,Public,City: Large,>75%,Large,https://www.unf.edu/,-81.509144,30.27194
University of Notre Dame,IN,Private,Suburb: Large,10%-25%,Large,www.nd.edu/,-86.238959,41.703058
University of Pennsylvania,PA,Private,City: Large,Most Selective,Very Large,www.upenn.edu/,-75.19391,39.950929
University of Pittsburgh-Pittsburgh Campus,PA,Public,City: Large,51%-75%,Very Large,www.pitt.edu/,-79.953254,40.444388
University of Rhode Island,RI,Public,Suburb: Large,>75%,Large,https://web.uri.edu/,-71.527356,41.484691
University of Richmond,VA,Private,City: Midsize,<10%,Small,https://www.richmond.edu/,-77.538806,37.577393
University of Rochester,NY,Private,City: Midsize,<10%,Large,https://www.rochester.edu/,-77.631202,43.126397
University of San Diego,CA,Private,City: Large,51%-75%,Medium,www.sandiego.edu/,-117.192073,32.770816
University of San Francisco,CA,Private,City: Large,51%-75%,Large,https://www.usfca.edu/,-122.450477,37.776618
University of South Alabama,AL,Public,City: Midsize,51%-75%,Large,www.southalabama.edu/,-88.178711,30.696033
University of South Carolina-Columbia,SC,Public,City: Midsize,51%-75%,Very Large,www.sc.edu/,-81.026935,33.996788
University of South Florida,FL,Public,City: Large,<10%,Very Large,www.usf.edu/,-82.413232,28.061458
University of Southern California,CA,Private,City: Large,10%-25%,Very Large,www.usc.edu/,-118.284169,34.021281
University of Vermont,VT,Public,City: Small,51%-75%,Large,www.uvm.edu/,-73.196646,44.477325
University of Virginia-Main Campus,VA,Public,Suburb: Small,10%-25%,Very Large,https://www.virginia.edu/,-78.503428,38.035665
